seqnames,start,end,width,strand,num_cpg,start_ind,end_ind,pi,loglik_diff,rna_gene_name,rna_gene_start,rna_gene_end,rna_gene_strand,vmr_to_gene_dist,vmr_rna_corr,vmr_n_avail_cell,promoter_rna_corr,promoter_n_avail_cell,context
14,93084632,93179610,94979,*,395,462444,462838,0.723467110284079,328.456676070675,Pcdh9,93013410,93890679,-,0,-0.173978430640486,811,0.000117103147439639,523,VMRs overlapping with gene body
2,62716166,62811316,95151,*,376,333550,333925,0.729611626979125,322.91551175018,Kcnh7,62693414,63184287,-,0,-0.123622451379011,824,0.0562943259303744,449,VMRs overlapping with gene body
6,129366386,129428105,61720,*,298,677913,678210,0.733402891478293,322.314339743678,Clec1b,129397297,129409335,+,0,-0.203884925658373,855,-0.236802178626454,181,VMRs overlapping with promoter
15,66065736,66136289,70554,*,314,309948,310261,0.752750864768541,321.457551000821,Kcnq3,65986387,66286224,-,0,-0.105486440892638,842,0.00272576358488971,523,VMRs overlapping with gene body
5,58000799,58082680,81882,*,360,272286,272645,0.734203725265346,310.72772369459,Pcdh7,57717967,58133230,+,0,-0.0174318943818518,832,-0.0089609736461412,610,VMRs overlapping with gene body
19,20369011,20437784,68774,*,355,104452,104806,0.761900328518631,310.58147049107,Anxa1,20373428,20390944,-,0,-0.232566908233039,850,-0.258909845440978,138,VMRs overlapping with promoter
14,93621302,93697383,76082,*,343,464656,464998,0.743672284772558,308.060382356503,Pcdh9,93013410,93890679,-,0,-0.215482191412066,817,0.000117103147439639,523,VMRs overlapping with gene body
7,75242913,75301754,58842,*,302,377470,377771,0.781414390344729,300.763711018597,Sv2b,75114894,75309262,-,0,-0.187747669815811,858,-0.117142409366202,441,VMRs overlapping with gene body
18,51289748,51384810,95063,*,304,248163,248466,0.711381231162546,297.726494221774,Prr16,51117898,51304641,+,0,-0.228117790925578,854,-0.0442402780376792,592,VMRs overlapping with gene body
2,58012559,58074446,61888,*,283,302537,302819,0.747760058094643,288.352004903772,Ermn,58045113,58052864,-,0,-0.122431566454599,825,-0.141279936413929,245,VMRs overlapping with promoter
4,36418156,36515487,97332,*,313,149903,150215,0.683251063869349,288.140632707642,Lingo2,35706647,36951747,-,0,-0.215471846378108,820,-0.0106806091622996,572,VMRs overlapping with gene body
1,129774957,129876292,101336,*,345,615799,616143,0.751184717021536,282.679146706385,Thsd7b,129273302,130219278,+,0,-0.210841921574284,860,-0.115014265428139,323,VMRs overlapping with gene body
5,48013582,48071132,57551,*,280,226002,226281,0.752069530303746,268.929776423301,Slit2,47983138,48307733,+,0,0.0261129881718812,803,0.0273301399180824,336,VMRs overlapping with gene body
13,89540764,89600508,59745,*,272,481721,481992,0.746710779563877,261.926524424956,Hapln1,89540636,89611832,+,0,-0.213675744001384,838,0.00621621949544378,502,VMRs overlapping with gene body
2,63079400,63151162,71763,*,266,334847,335112,0.700020103458005,261.550531305346,Kcnh7,62693414,63184287,-,0,-0.166369689011644,793,0.0562943259303744,449,VMRs overlapping with gene body
5,49351694,49437890,86197,*,332,231408,231739,0.755364061416328,255.471117830542,Kcnip4,48389502,49524907,-,0,-0.239661863512499,837,-0.132310658726827,425,VMRs overlapping with gene body
16,14887870,14960118,72249,*,266,65992,66257,0.739193205749645,252.621622828599,Efcab1,14906637,14925879,+,0,-0.148513665287605,833,-0.130316102570416,318,VMRs overlapping with promoter
16,16763131,16825577,62447,*,226,73433,73658,0.741677446489928,250.570480619706,Spag6l,16753016,16829456,-,0,-0.15281464036575,869,-0.0911217369184993,244,VMRs overlapping with gene body
19,48640529,48687091,46563,*,259,304639,304897,0.782140932764192,243.456333914152,Sorcs3,48206025,48805505,+,0,-0.213418242510141,807,0.130350412640808,570,VMRs overlapping with gene body
8,36813116,36862069,48954,*,257,206115,206371,0.757943053533936,242.445047279309,Dlc1,36567751,36953143,-,0,-0.222174832549589,834,-0.259111574401354,251,VMRs overlapping with gene body
8,32299606,32355961,56356,*,250,173520,173769,0.742555298686041,241.385397711857,Nrg1,31814551,32884029,-,0,-0.256990551454696,813,0.00325053704659022,630,VMRs overlapping with gene body
6,103582301,103647279,64979,*,250,524224,524473,0.723853353393549,237.388114454602,Chl1,103510586,103750211,+,0,-0.224034516706207,782,-0.145121803636464,196,VMRs overlapping with gene body
6,115176172,115220596,44425,*,215,580115,580329,0.732931737159816,236.462454647348,Syn2,115134902,115282006,+,0,-0.253085979196309,811,-0.00815414851199888,500,VMRs overlapping with gene body
6,103513401,103574703,61303,*,247,523976,524222,0.716985213944865,236.345342526419,Chl1,103510586,103750211,+,0,-0.221352566370152,786,-0.145121803636464,196,VMRs overlapping with gene body
5,13316280,13389777,73498,*,295,42752,43046,0.751693640032208,234.900630675293,Sema3a,13125414,13602565,+,0,-0.24840976930742,822,-0.234457358390891,305,VMRs overlapping with gene body
19,43765171,43786945,21775,*,198,259450,259647,0.758035388051426,232.291738338052,Abcc2,43782192,43840740,+,0,-0.365408825997837,744,-0.416872252997124,246,VMRs overlapping with promoter
8,56296027,56349045,53019,*,247,303068,303314,0.746588644917517,230.782467994689,Hpgd,56294585,56321043,+,0,-0.222558765549373,764,0.0756482119818219,468,VMRs overlapping with gene body
18,51178385,51235658,57274,*,229,247719,247947,0.724284335097538,230.56625135414,Prr16,51117898,51304641,+,0,-0.205233252710932,773,-0.0442402780376792,592,VMRs overlapping with gene body
7,120380733,120431968,51236,*,204,618582,618785,0.708672131851668,225.933619195362,Abca16,120409647,120544813,+,0,-0.175656973085579,822,-0.159487946370818,143,VMRs overlapping with promoter
8,32251941,32292210,40270,*,204,173261,173464,0.719221638895594,224.246374569717,Nrg1,31814551,32884029,-,0,-0.242818894255281,783,0.00325053704659022,630,VMRs overlapping with gene body
9,79869437,79897446,28010,*,183,454725,454907,0.741096551428341,223.555212061459,Filip1,79815051,80012851,-,0,-0.229785469682767,768,-0.128180229257538,304,VMRs overlapping with gene body
8,36749792,36788549,38758,*,236,205730,205965,0.774472452885232,222.839280132133,Dlc1,36567751,36953143,-,0,-0.2943920764675,807,-0.259111574401354,251,VMRs overlapping with gene body
11,42134851,42181139,46289,*,202,196433,196634,0.687958172606482,222.759848531307,Gabra1,42130939,42182930,-,0,-0.254838059436511,732,-0.165194456608032,347,VMRs overlapping with gene body
8,54950273,55034440,84168,*,286,299467,299752,0.720434208380765,221.428170917598,Gpm6a,54954843,55060871,+,0,-0.128980581276134,788,-0.137905103265758,235,VMRs overlapping with promoter
2,76281159,76309815,28657,*,195,421076,421270,0.763566575050302,220.828200319573,Pde11a,75989141,76338774,-,0,-0.250281094603666,783,-0.102209135871075,567,VMRs overlapping with gene body
14,93697697,93745193,47497,*,211,465000,465210,0.719345792397972,220.692364049742,Pcdh9,93013410,93890679,-,0,-0.218787982985069,746,0.000117103147439639,523,VMRs overlapping with gene body
6,30734360,30739965,5606,*,105,132913,133017,0.474843059911224,216.430968662851,Mest,30723547,30748465,+,0,0.00854941842748402,674,-0.0462329289174015,387,VMRs overlapping with gene body
1,8365966,8431087,65122,*,213,20234,20446,0.680266326702129,215.111874441206,Sntg1,8361475,9299878,-,0,-0.21684109710804,845,-0.0266493297389423,476,VMRs overlapping with gene body
1,82673745,82712459,38715,*,224,402916,403139,0.776352056693559,214.595717578755,Col4a3,82586921,82722059,+,0,-0.175491486914989,791,-0.0663983055782011,512,VMRs overlapping with gene body
19,48258578,48287144,28567,*,202,302208,302409,0.78542879675101,214.087002379456,Sorcs3,48206025,48805505,+,0,-0.202591797392023,775,0.130350412640808,570,VMRs overlapping with gene body
7,75189611,75240479,50869,*,222,377233,377454,0.765670935791266,213.304661872896,Sv2b,75114894,75309262,-,0,-0.197628776448479,826,-0.117142409366202,441,VMRs overlapping with gene body
6,131301751,131352677,50927,*,206,684580,684785,0.722363447175359,211.276710455009,Styk1,131299142,131353597,-,0,-0.222114229946246,786,-0.112786707306863,348,VMRs overlapping with gene body
7,120513087,120550078,36992,*,149,619082,619230,0.684659738373084,209.410905200541,Abca16,120409647,120544813,+,0,-0.197357954718756,781,-0.159487946370818,143,VMRs overlapping with gene body
13,89601458,89642631,41174,*,193,481996,482188,0.73955034967749,208.11734524253,Hapln1,89540636,89611832,+,0,-0.231187204532339,795,0.00621621949544378,502,VMRs overlapping with gene body
10,49334843,49409215,74373,*,209,244962,245170,0.71228008705772,206.340712283768,Grik2,49099843,49783259,-,0,-0.190334229792349,825,0.00546996306803711,355,VMRs overlapping with gene body
14,93477869,93526673,48805,*,211,464097,464307,0.720219750251581,205.558202679086,Pcdh9,93013410,93890679,-,0,-0.223411251306217,744,0.000117103147439639,523,VMRs overlapping with gene body
5,12588015,12648436,60422,*,232,40214,40445,0.73473167954656,205.315094133932,Sema3d,12383385,12588948,+,0,-0.196411505038323,817,-0.0554050374151366,386,VMRs overlapping with gene body
19,12672035,12733494,61460,*,223,66653,66875,0.720245242406466,202.823393843811,Keg1,12695786,12719902,+,0,-0.221020873843702,810,-0.215524135612382,279,VMRs overlapping with promoter
5,49449665,49499601,49937,*,204,231792,231995,0.744455623583272,202.793726926243,Kcnip4,48389502,49524907,-,0,-0.190847808247147,779,-0.132310658726827,425,VMRs overlapping with gene body
3,106057378,106140811,83434,*,243,518477,518719,0.738688775859047,202.503570611552,Chia1,106113229,106132120,+,0,-0.215732591105395,888,-0.236416455447413,247,VMRs overlapping with promoter
16,46040913,46078081,37169,*,191,255224,255414,0.748204176067139,202.369813236734,Cd96,46035657,46120251,-,0,-0.214206457752179,796,-0.240589254694909,316,VMRs overlapping with gene body
5,13243337,13302234,58898,*,213,42484,42696,0.719694060495318,202.282978170224,Sema3a,13125414,13602565,+,0,-0.221825296205115,827,-0.234457358390891,305,VMRs overlapping with gene body
1,139273348,139318931,45584,*,200,683718,683917,0.750767700804321,201.27210946882,Crb1,139197056,139377100,-,0,-0.234957672224157,804,-0.0993910710470164,325,VMRs overlapping with gene body
3,83154794,83185319,30526,*,203,370248,370450,0.78552931343919,200.907886534402,Dchs2,83127948,83357209,+,0,-0.265534659386996,795,0.0497914501528698,515,VMRs overlapping with gene body
7,57032103,57101541,69439,*,242,279538,279779,0.763801658878336,199.831259772601,Gabrg3,56716465,57387188,-,0,-0.187400687180539,839,-0.0834231344169896,389,VMRs overlapping with gene body
6,103726421,103774756,48336,*,220,524828,525047,0.725076958389416,198.756075982654,Chl1,103510586,103750211,+,0,-0.192140635287779,769,-0.145121803636464,196,VMRs overlapping with gene body
14,35583067,35628904,45838,*,200,161764,161963,0.74661657008316,198.069881923221,Grid1,34819825,35583379,+,0,-0.215799876209399,838,0.0636662345814121,645,VMRs overlapping with gene body
1,63701286,63728784,27499,*,143,297815,297957,0.699166920043532,197.421032328572,Mdh1b,63698819,63730318,-,0,-0.170104191944906,724,-0.0650355007684138,426,VMRs overlapping with gene body
7,23366005,23420737,54733,*,223,79796,80018,0.766993062557948,197.021822628809,Nlrp5,23385889,23441922,+,0,-0.152466395081682,826,-0.159962927887779,286,VMRs overlapping with promoter
7,109390009,109437596,47588,*,188,551298,551485,0.73417895850498,196.82788768215,Stk33,109279223,109439081,-,0,-0.177071729296195,805,-0.0932216718937643,510,VMRs overlapping with gene body
8,32655583,32713472,57890,*,228,174991,175218,0.734451325074724,196.177167035713,Nrg1,31814551,32884029,-,0,-0.206671270972152,793,0.00325053704659022,630,VMRs overlapping with gene body
9,78359287,78376274,16988,*,133,446273,446405,0.702498238772027,196.101941130845,Dppa5a,78367052,78368177,-,0,-0.555094600516974,724,-0.534357453652922,299,VMRs overlapping with promoter
13,65178585,65231122,52538,*,186,377194,377379,0.726313965177087,195.286012275264,Nlrp4f,65177111,65205716,-,0,-0.243124539066419,814,-0.314130924121019,301,VMRs overlapping with promoter
1,129444465,129503970,59506,*,219,614651,614869,0.733656410044662,194.563840536904,Thsd7b,129273302,130219278,+,0,-0.2323306497994,785,-0.115014265428139,323,VMRs overlapping with gene body
9,73642577,73680381,37805,*,199,418470,418668,0.755663302477088,193.366854081422,Unc13c,73479422,73968966,-,0,-0.205014964943856,778,-0.162606845974254,373,VMRs overlapping with gene body
8,36592282,36611241,18960,*,179,204422,204600,0.702627161201403,193.12496739664,Dlc1,36567751,36953143,-,0,-0.263498297874998,771,-0.259111574401354,251,VMRs overlapping with gene body
5,49024925,49090321,65397,*,198,230264,230461,0.678476112182048,193.027054920636,Kcnip4,48389502,49524907,-,0,-0.230999556663965,755,-0.132310658726827,425,VMRs overlapping with gene body
10,49651599,49706593,54995,*,156,245849,246004,0.643531674579389,192.86534964977,Grik2,49099843,49783259,-,0,-0.275147358960736,753,0.00546996306803711,355,VMRs overlapping with gene body
6,115138192,115175190,36999,*,163,579945,580107,0.683486740151725,191.415628201559,Syn2,115134902,115282006,+,0,-0.202438541375446,790,-0.00815414851199888,500,VMRs overlapping with gene body
7,24673085,24698045,24961,*,147,88063,88209,0.740117139303396,188.823541804944,Tex101,24668007,24676675,-,0,-0.225764231458599,791,-0.179798160101114,402,VMRs overlapping with promoter
14,93558562,93619237,60676,*,213,464439,464651,0.716879138103147,188.216841420786,Pcdh9,93013410,93890679,-,0,-0.215343265202304,759,0.000117103147439639,523,VMRs overlapping with gene body
7,37574285,37593574,19290,*,151,178925,179075,0.754651728421498,188.136284239418,Zfp536,37472135,37773641,-,0,-0.187677863900583,774,-0.0404596694503652,449,VMRs overlapping with gene body
9,76241915,76285251,43337,*,191,433542,433732,0.749324473458919,186.095554113484,Hcrtr2,76225880,76323856,-,0,-0.223158238280887,792,-0.302610695051135,386,VMRs overlapping with gene body
18,51120563,51156358,35796,*,160,247499,247658,0.712801244365445,185.644216245903,Prr16,51117898,51304641,+,0,-0.222152124385074,689,-0.0442402780376792,592,VMRs overlapping with gene body
1,83163269,83189921,26653,*,169,406058,406226,0.770627680645875,185.31706950241,Daw1,83159752,83210574,+,0,-0.175410938727723,793,-0.130268979756016,386,VMRs overlapping with gene body
13,73567549,73602568,35020,*,164,420887,421050,0.748670630854346,183.202397908119,Slc6a3,73536747,73578672,+,0,-0.194988067334819,750,-0.0483747282271833,560,VMRs overlapping with gene body
1,9237365,9297519,60155,*,176,22932,23107,0.655978286073302,182.330000842605,Sntg1,8361475,9299878,-,0,-0.168112864312878,792,-0.0266493297389423,476,VMRs overlapping with gene body
5,57947306,57993823,46518,*,186,272089,272274,0.70463417706923,180.69829145747,Pcdh7,57717967,58133230,+,0,0.00788181229315406,709,-0.0089609736461412,610,VMRs overlapping with gene body
1,129275195,129332241,57047,*,212,614101,614312,0.749935404307865,180.160772012078,Thsd7b,129273302,130219278,+,0,-0.208547615822247,787,-0.115014265428139,323,VMRs overlapping with gene body
1,129339580,129385370,45791,*,190,614322,614511,0.745510004024695,180.096828417246,Thsd7b,129273302,130219278,+,0,-0.213969533698097,789,-0.115014265428139,323,VMRs overlapping with gene body
5,17859687,17908350,48664,*,200,58853,59052,0.73033699938789,179.824527037291,Cd36,17781690,17888801,-,0,-0.249718288501621,745,-0.252062350944095,141,VMRs overlapping with promoter
7,56842867,56920119,77253,*,240,278938,279177,0.758398763535164,179.750769418486,Gabrg3,56716465,57387188,-,0,-0.23471518569081,833,-0.0834231344169896,389,VMRs overlapping with gene body
10,23313538,23346462,32925,*,184,116971,117154,0.762359053472961,179.182707852067,Eya4,23104168,23349895,-,0,-0.247057278462404,740,-0.0163063358381174,487,VMRs overlapping with gene body
7,57259094,57307001,47908,*,208,280418,280625,0.78879237172229,179.066067972863,Gabrg3,56716465,57387188,-,0,-0.212041113262316,786,-0.0834231344169896,389,VMRs overlapping with gene body
9,73689787,73731740,41954,*,174,418707,418880,0.745515441868895,178.948180318989,Unc13c,73479422,73968966,-,0,-0.249597714625872,784,-0.162606845974254,373,VMRs overlapping with gene body
17,79089602,79112785,23184,*,143,478012,478154,0.74477380434731,177.767283671455,Qpct,79051906,79090243,+,0,-0.269766997604273,781,-0.218908641436006,432,VMRs overlapping with gene body
6,103652588,103691732,39145,*,191,524497,524687,0.718385258136426,177.740139690194,Chl1,103510586,103750211,+,0,-0.227583586148051,769,-0.145121803636464,196,VMRs overlapping with gene body
16,52364606,52416865,52260,*,232,284753,284984,0.766259797875105,175.252933557879,Alcam,52248996,52454074,-,0,0.0152415940487269,754,-0.0495194230538547,318,VMRs overlapping with gene body
8,32497300,32550615,53316,*,205,174361,174565,0.749255037400372,174.80160217825,Nrg1,31814551,32884029,-,0,-0.231886679219119,775,0.00325053704659022,630,VMRs overlapping with gene body
3,20317103,20360775,43673,*,168,69269,69436,0.692606416651843,174.264695843323,Agtr1b,20314473,20367177,-,0,-0.247860302502731,762,-0.175599301343008,240,VMRs overlapping with gene body
1,83103753,83137837,34085,*,174,405730,405903,0.760620233914775,173.410554046915,Ccl20,83116766,83119167,+,0,-0.169033557804728,766,-0.00630554727579388,297,VMRs overlapping with promoter
14,93429554,93476735,47182,*,198,463895,464092,0.71908517338939,173.155878115732,Pcdh9,93013410,93890679,-,0,-0.208484406561445,718,0.000117103147439639,523,VMRs overlapping with gene body
1,129538153,129583892,45740,*,178,614995,615172,0.715503785299272,173.152989282504,Thsd7b,129273302,130219278,+,0,-0.227919466227116,751,-0.115014265428139,323,VMRs overlapping with gene body
3,142569861,142626953,57093,*,210,719899,720108,0.755953781330121,173.047959899921,Gbp3,142560026,142573209,+,0,-0.174565283337691,822,-0.291374446928658,47,VMRs overlapping with promoter
4,36279222,36313608,34387,*,187,149402,149588,0.752656666027027,172.965754378784,Lingo2,35706647,36951747,-,0,-0.19239209261937,775,-0.0106806091622996,572,VMRs overlapping with gene body
7,102649755,102677652,27898,*,145,525471,525615,0.746833631507881,170.199612952164,Trim68,102677582,102687327,-,0,-0.216981759291417,748,-0.118235711738026,367,VMRs overlapping with gene body
8,112821918,112858286,36369,*,187,636814,637000,0.762983833448501,167.007708034415,Cntnap4,112570043,112882717,+,0,-0.172881509004029,755,-0.0574703735398341,360,VMRs overlapping with gene body
10,50957284,50997423,40140,*,165,250393,250557,0.736237832759114,166.946785340915,Sim1,50895651,50989152,+,0,-0.18118071228524,791,0.0242439615885468,638,VMRs overlapping with gene body
5,127984842,128011453,26612,*,164,725115,725278,0.790119305139647,166.462584298596,Tmem132d,127781630,128433077,-,0,-0.181733677510299,763,-0.0889814453618525,436,VMRs overlapping with gene body
7,83746488,83773638,27151,*,145,431450,431594,0.755472499617458,166.073952997867,Cfap161,83774101,83794880,-,462,-0.187677180698049,785,-0.140926212962781,378,VMRs outside gene but within 1000-bp distance
10,49746400,49780890,34491,*,127,246113,246239,0.688788264833228,165.381892724802,Grik2,49099843,49783259,-,0,-0.246687418157041,715,0.00546996306803711,355,VMRs overlapping with gene body
13,110253439,110278829,25391,*,136,616569,616704,0.748163185233148,164.425524766825,Rab3c,110054187,110280206,-,0,-0.196652530905383,718,-0.0107448622178166,419,VMRs overlapping with gene body
14,93361564,93399537,37974,*,166,463593,463758,0.72646545300364,163.852097818866,Pcdh9,93013410,93890679,-,0,-0.200352268574049,702,0.000117103147439639,523,VMRs overlapping with gene body
3,83130647,83153807,23161,*,139,370101,370239,0.745507182495532,160.354939359967,Dchs2,83127948,83357209,+,0,-0.222782082548396,753,0.0497914501528698,515,VMRs overlapping with gene body
5,58085361,58145959,60599,*,225,272661,272885,0.751142224717567,159.964361386801,Pcdh7,57717967,58133230,+,0,-0.0178680940063095,774,-0.0089609736461412,610,VMRs overlapping with gene body
5,13107181,13141520,34340,*,165,41975,42139,0.727307308811607,159.288920117883,Sema3a,13125414,13602565,+,0,-0.175225231677904,731,-0.234457358390891,305,VMRs overlapping with promoter
11,55998283,56026792,28510,*,147,283650,283796,0.734092095067878,158.761187689783,Nmur2,56024987,56041010,-,0,-0.15789395370116,772,0.00943261724103769,298,VMRs overlapping with gene body
19,20689126,20723888,34763,*,162,105856,106017,0.728205431454319,157.646423175366,Aldh1a7,20692953,20727562,-,0,-0.154540566193114,731,-0.294869858547491,227,VMRs overlapping with gene body
19,48294653,48311369,16717,*,141,302474,302614,0.756562777585558,157.494167976831,Sorcs3,48206025,48805505,+,0,-0.157098169632861,697,0.130350412640808,570,VMRs overlapping with gene body
6,25691675,25734076,42402,*,165,104758,104922,0.721394843901557,156.551934259828,Gpr37,25665878,25690729,-,945,-0.197649650710284,740,-0.184802256945314,92,VMRs overlapping with promoter
10,107332664,107362676,30013,*,144,604350,604493,0.713960507757978,156.290821134515,Lin7a,107271843,107425143,+,0,-0.229451478494959,688,-0.0431348530352668,399,VMRs overlapping with gene body
3,29992908,30011292,18385,*,131,112208,112338,0.732343521668745,155.712272851264,Mecom,29951296,30548008,-,0,-0.179592585414519,712,-0.119064125385,401,VMRs overlapping with gene body
15,66419326,66475070,55745,*,246,311705,311950,0.782660015963655,155.443307311486,Lrrc6,66379858,66500910,-,0,-0.134628328728455,828,-0.154529267940158,270,VMRs overlapping with gene body
19,44488640,44501173,12534,*,118,266269,266386,0.737207329811597,154.184322292044,Wnt8b,44493472,44514273,+,0,-0.133744944200693,717,-0.207501877532686,393,VMRs overlapping with promoter
1,63669335,63698203,28869,*,148,297646,297793,0.76748985959461,154.053560003668,Mdh1b,63698819,63730318,-,615,-0.113508068140122,809,-0.0650355007684138,426,VMRs outside gene but within 1000-bp distance
3,75085417,75121126,35710,*,113,335807,335919,0.629115442920473,153.623935582498,Zbbx,75037907,75165034,-,0,-0.23356911972629,680,-0.0900202574956694,393,VMRs overlapping with gene body
8,32378334,32414033,35700,*,157,173893,174049,0.763311062233516,152.500551454422,Nrg1,31814551,32884029,-,0,-0.285642573173057,760,0.00325053704659022,630,VMRs overlapping with gene body
8,36907492,36937403,29912,*,156,206595,206750,0.740286112021531,151.543216457187,Dlc1,36567751,36953143,-,0,-0.241071598778952,745,-0.259111574401354,251,VMRs overlapping with gene body
5,13143611,13182607,38997,*,138,42140,42277,0.686894858530437,151.538164197736,Sema3a,13125414,13602565,+,0,-0.213886964522002,719,-0.234457358390891,305,VMRs overlapping with gene body
5,49098073,49150404,52332,*,165,230507,230671,0.6997261497596,151.082643929053,Kcnip4,48389502,49524907,-,0,-0.180629124575777,729,-0.132310658726827,425,VMRs overlapping with gene body
2,62826604,62861695,35092,*,131,333952,334082,0.700439552405714,148.600272178717,Kcnh7,62693414,63184287,-,0,-0.181872987822328,708,0.0562943259303744,449,VMRs overlapping with gene body
12,66261189,66285620,24432,*,147,297656,297802,0.725154701669286,147.982064429447,Rpl10l,66283379,66284401,-,0,-0.393622903465986,760,-0.415206372355935,253,VMRs overlapping with promoter
11,44400213,44419701,19489,*,145,208334,208478,0.770232789313993,147.640903708879,Il12b,44400063,44414033,+,0,-0.167149469704591,759,-0.0124204395774173,488,VMRs overlapping with gene body
14,63479845,63504773,24929,*,185,307092,307276,0.779920822691139,147.633394729463,Tdh,63492347,63509092,-,0,-0.268258690347196,770,-0.317168648562786,338,VMRs overlapping with gene body
15,9462499,9496839,34341,*,144,36227,36370,0.727028902174476,147.027896298719,Capsl,9436028,9466035,+,0,-0.0505261329140292,781,-0.154329460658401,290,VMRs overlapping with gene body
13,74233228,74257100,23873,*,118,425145,425262,0.71357566142222,146.550737381455,Ahrr,74211118,74292331,-,0,-0.175458662386091,766,-0.061505646816331,450,VMRs overlapping with gene body
8,112579639,112595111,15473,*,119,635417,635535,0.734173492756156,146.362906090952,Cntnap4,112570043,112882717,+,0,-0.266737229967035,674,-0.0574703735398341,360,VMRs overlapping with gene body
8,36952852,36978432,25581,*,161,206870,207030,0.760445684779514,146.008652843135,Dlc1,36567751,36953143,-,0,-0.204695243114419,715,-0.259111574401354,251,VMRs overlapping with promoter
1,178798732,178817819,19088,*,136,898557,898692,0.789130128058161,145.971815145502,Kif26b,178529125,178939200,+,0,-0.154518207499847,739,-0.104012085175423,637,VMRs overlapping with gene body
5,48955526,49010332,54807,*,159,230069,230227,0.720303168745385,145.758664410107,Kcnip4,48389502,49524907,-,0,-0.198905418126744,733,-0.132310658726827,425,VMRs overlapping with gene body
